,Mois,corrigee
0,2014-01-01,4753
1,2014-02-01,4265
2,2014-03-01,4512
3,2014-04-01,4146
4,2014-05-01,4288
5,2014-06-01,4486
6,2014-07-01,4733
7,2014-08-01,4037
8,2014-09-01,4571
9,2014-10-01,4642
10,2014-11-01,4287
11,2014-12-01,4602
12,2015-01-01,4906
13,2015-02-01,4356
14,2015-03-01,4812
15,2015-04-01,4177
16,2015-05-01,4231
17,2015-06-01,4568
18,2015-07-01,4764
19,2015-08-01,4295
20,2015-09-01,4236
21,2015-10-01,4458
22,2015-11-01,4517
23,2015-12-01,4591
24,2016-01-01,4583
25,2016-02-01,4290
26,2016-03-01,4425
27,2016-04-01,4061
28,2016-05-01,4375
29,2016-06-01,4576
30,2016-07-01,4617
31,2016-08-01,4326
32,2016-09-01,4578
33,2016-10-01,4315
34,2016-11-01,4348
35,2016-12-01,4465
36,2017-01-01,4775
37,2017-02-01,4220
38,2017-03-01,4610
39,2017-04-01,3820
40,2017-05-01,4434
41,2017-06-01,4633
42,2017-07-01,4572
43,2017-08-01,4157
44,2017-09-01,4243
45,2017-10-01,4485
46,2017-11-01,4240
47,2017-12-01,4418
48,2018-01-01,4388
49,2018-02-01,3880
50,2018-03-01,4670
51,2018-04-01,4161
52,2018-05-01,4352
53,2018-06-01,4587
54,2018-07-01,4885
55,2018-08-01,4267
56,2018-09-01,4220
57,2018-10-01,4357
58,2018-11-01,4267
59,2018-12-01,4362
